country,Cellphones,GDPPC,Internet,Year
Austria,0.954,339000,0.13,1990
Austria,1.48,347000,0.259,1991
Austria,2.2,35000,0.643,1992
Austria,2.8,349000,0.765,1993
Austria,3.5,356000,1.39,1994
Austria,4.8,365000,1.89,1995
Austria,7.47,373000,6.91,1996
Austria,14.4,381000,9.53,1997
Austria,28.5,394000,15.4,1998
Austria,52.8,407000,23,1999
Austria,75.8,42000,33.7,2000
Austria,80.8,424000,39.2,2001
Austria,82.8,429000,36.6,2002
Austria,89,431000,42.7,2003
Austria,97.3,44000,54.3,2004
Austria,105,446000,58,2005
Austria,112,46000,63.6,2006
Austria,119,475000,69.4,2007
Austria,130,481000,72.9,2008
Austria,137,461000,73.5,2009
Austria,146,469000,75.2,2010
Austria,154,481000,78.7,2011
Austria,160,482000,80,2012
Austria,155,479000,80.6,2013
Austria,150,478000,81,2014
Austria,155,478000,83.9,2015
Austria,127,482000,84.3,2016
Austria,123,49000,87.9,2017
Austria,124,501000,87.5,2018
Austria,120,505000,87.8,2019
Bahrain,1.04,179000,0,1990
Bahrain,1.44,194000,0,1991
Bahrain,1.85,202000,0,1992
Bahrain,2.12,222000,0,1993
Bahrain,3.21,216000,0,1994
Bahrain,4.9,219000,0.346,1995
Bahrain,6.93,222000,0.843,1996
Bahrain,9.84,223000,1.65,1997
Bahrain,15,226000,3.22,1998
Bahrain,21,228000,4.72,1999
Bahrain,31,23000,6.15,2000
Bahrain,42.9,224000,15,2001
Bahrain,52.9,22000,18.1,2002
Bahrain,56.9,221000,21.6,2003
Bahrain,78.3,221000,21.5,2004
Bahrain,86.3,221000,21.3,2005
Bahrain,94.7,218000,28.2,2006
Bahrain,108,218000,32.9,2007
Bahrain,129,216000,52,2008
Bahrain,118,208000,53,2009
Bahrain,126,207000,55,2010
Bahrain,133,205000,77,2011
Bahrain,163,209000,88,2012
Bahrain,168,218000,90,2013
Bahrain,174,224000,90.5,2014
Bahrain,184,224000,93.5,2015
Bahrain,210,223000,98,2016
Bahrain,158,222000,95.9,2017
Bahrain,133,215000,98.6,2018
Bahrain,116,209000,99.7,2019
Belgium,0.429,327000,0.00101,1990
Belgium,0.512,331000,0.0201,1991
Belgium,0.61,335000,0.1,1992
Belgium,0.67,331000,0.199,1993
Belgium,1.26,34000,0.696,1994
Belgium,2.31,348000,0.992,1995
Belgium,4.68,352000,2.97,1996
Belgium,9.53,364000,4.94,1997
Belgium,17.2,37000,7.89,1998
Belgium,31.1,383000,13.8,1999
Belgium,54.7,396000,29.4,2000
Belgium,74.6,399000,31.3,2001
Belgium,78.2,404000,46.3,2002
Belgium,82.6,406000,50,2003
Belgium,87.1,419000,53.9,2004
Belgium,91.1,426000,55.8,2005
Belgium,92.7,434000,59.7,2006
Belgium,100,447000,64.4,2007
Belgium,105,446000,66,2008
Belgium,108,433000,70,2009
Belgium,111,441000,75,2010
Belgium,113,443000,81.6,2011
Belgium,111,444000,80.7,2012
Belgium,110,444000,82.2,2013
Belgium,113,449000,85,2014
Belgium,113,455000,85.1,2015
Belgium,111,459000,86.5,2016
Belgium,99.5,464000,87.7,2017
Belgium,99.7,47000,88.7,2018
Belgium,99.7,476000,90.4,2019
Brunei,0.685,371000,0,1990
Brunei,1.14,372000,0,1991
Brunei,1.5,378000,0,1992
Brunei,2.95,369000,0,1993
Brunei,5.4,371000,0,1994
Brunei,12.1,377000,1.02,1995
Brunei,14.3,378000,3.3,1996
Brunei,14.4,364000,4.83,1997
Brunei,15.4,354000,6.28,1998
Brunei,20.2,357000,7.67,1999
Brunei,28.5,359000,9,2000
Brunei,42.1,362000,12.9,2001
Brunei,44.3,368000,15.3,2002
Brunei,50.2,372000,19.6,2003
Brunei,56.3,368000,29.7,2004
Brunei,63.8,363000,36.5,2005
Brunei,81.4,374000,42.2,2006
Brunei,97.6,37000,44.7,2007
Brunei,105,358000,46,2008
Brunei,108,348000,49,2009
Brunei,112,353000,53,2010
Brunei,113,361000,56,2011
Brunei,118,36000,60.3,2012
Brunei,116,347000,64.5,2013
Brunei,110,334000,68.8,2014
Brunei,112,329000,71.2,2015
Brunei,125,317000,90,2016
Brunei,128,318000,94.9,2017
Brunei,132,314000,95,2018
Brunei,133,323000,95,2019
Bulgaria,0,4710,0,1990
Bulgaria,0,4360,0,1991
Bulgaria,0,4090,0,1992
Bulgaria,0.0117,4060,0.00234,1993
Bulgaria,0.0767,4150,0.0195,1994
Bulgaria,0.25,4280,0.12,1995
Bulgaria,0.321,4530,0.725,1996
Bulgaria,0.852,3910,1.22,1997
Bulgaria,1.56,4100,1.84,1998
Bulgaria,4.34,3780,2.91,1999
Bulgaria,9.23,3980,5.37,2000
Bulgaria,19.5,4220,7.61,2001
Bulgaria,33,4570,9.08,2002
Bulgaria,44.9,4840,12,2003
Bulgaria,61.1,5190,18.1,2004
Bulgaria,81.2,5610,20,2005
Bulgaria,108,6030,27.1,2006
Bulgaria,131,6480,33.6,2007
Bulgaria,139,6920,39.7,2008
Bulgaria,140,6730,45,2009
Bulgaria,137,6810,46.2,2010
Bulgaria,142,7020,48,2011
Bulgaria,147,7080,51.9,2012
Bulgaria,144,7150,53.1,2013
Bulgaria,131,7320,55.5,2014
Bulgaria,128,7660,56.7,2015
Bulgaria,125,8010,59.8,2016
Bulgaria,120,8350,63.4,2017
Bulgaria,119,8670,64.8,2018
Bulgaria,116,9060,67.9,2019
Colombia,0,4470,0,1990
Colombia,0,4470,0,1991
Colombia,0,4560,0,1992
Colombia,0,4710,0,1993
Colombia,0.243,4890,0.107,1994
Colombia,0.754,5060,0.188,1995
Colombia,1.41,5070,0.33,1996
Colombia,3.35,5150,0.551,1997
Colombia,4.69,5090,1.13,1998
Colombia,5.04,4800,1.7,1999
Colombia,5.69,4860,2.21,2000
Colombia,8.11,4870,2.85,2001
Colombia,11.2,4910,4.6,2002
Colombia,14.9,5030,7.39,2003
Colombia,24.7,5230,9.12,2004
Colombia,51.2,5400,11,2005
Colombia,68.9,5690,15.3,2006
Colombia,77.6,6000,21.8,2007
Colombia,93.5,6130,25.6,2008
Colombia,94.2,6130,30,2009
Colombia,98.4,6340,36.5,2010
Colombia,101,6710,40.4,2011
Colombia,106,6910,49,2012
Colombia,108,7200,51.7,2013
Colombia,118,7450,52.6,2014
Colombia,121,7580,55.9,2015
Colombia,122,7630,58.1,2016
Colombia,127,7620,62.3,2017
Colombia,130,7700,64.1,2018
Colombia,132,7840,65,2019
Costa Rica,0,4860,0,1990
Costa Rica,0,4840,0,1991
Costa Rica,0.0915,5150,0.00111,1992
Costa Rica,0.134,5370,0.0815,1993
Costa Rica,0.202,5470,0.28,1994
Costa Rica,0.529,5560,0.417,1995
Costa Rica,1.28,5500,0.841,1996
Costa Rica,1.73,5670,1.64,1997
Costa Rica,2.86,5940,2.67,1998
Costa Rica,3.56,6060,3.9,1999
Costa Rica,5.34,6170,5.8,2000
Costa Rica,8.1,6270,9.56,2001
Costa Rica,12.3,6380,19.9,2002
Costa Rica,18.7,6560,20.3,2003
Costa Rica,21.8,6750,20.8,2004
Costa Rica,25.7,6920,22.1,2005
Costa Rica,33.2,7320,25.1,2006
Costa Rica,34.2,7820,28.4,2007
Costa Rica,42.3,8080,32.3,2008
Costa Rica,43.1,7910,34.3,2009
Costa Rica,68.3,8230,36.5,2010
Costa Rica,89.6,8490,39.2,2011
Costa Rica,115,8800,47.5,2012
Costa Rica,150,8910,46,2013
Costa Rica,146,9130,53,2014
Costa Rica,155,9360,59.8,2015
Costa Rica,170,9650,65.9,2016
Costa Rica,179,9950,71.6,2017
Costa Rica,170,101000,73.5,2018
Costa Rica,169,102000,81.2,2019
Cote d'Ivoire,0,1490,0,1990
Cote d'Ivoire,0,1440,0,1991
Cote d'Ivoire,0,1390,0,1992
Cote d'Ivoire,0,1330,0,1993
Cote d'Ivoire,0,1300,0,1994
Cote d'Ivoire,0,1350,0.0002,1995
Cote d'Ivoire,0.0924,1410,0.00841,1996
Cote d'Ivoire,0.238,1410,0.0188,1997
Cote d'Ivoire,0.585,1440,0.061,1998
Cote d'Ivoire,1.6,1420,0.119,1999
Cote d'Ivoire,2.87,1360,0.231,2000
Cote d'Ivoire,4.32,1330,0.396,2001
Cote d'Ivoire,5.96,1280,0.498,2002
Cote d'Ivoire,7.28,1230,0.759,2003
Cote d'Ivoire,9.32,1220,0.849,2004
Cote d'Ivoire,12.8,1220,1.04,2005
Cote d'Ivoire,21.7,1210,1.52,2006
Cote d'Ivoire,39,1200,1.8,2007
Cote d'Ivoire,53.3,1210,1.9,2008
Cote d'Ivoire,65.7,1220,2,2009
Cote d'Ivoire,76,1210,2.7,2010
Cote d'Ivoire,82.5,1130,2.9,2011
Cote d'Ivoire,84,1220,5,2012
Cote d'Ivoire,87.8,1300,12,2013
Cote d'Ivoire,97.6,1380,19.3,2014
Cote d'Ivoire,109,1460,38.4,2015
Cote d'Ivoire,115,1530,41.2,2016
Cote d'Ivoire,130,1600,43.8,2017
Cote d'Ivoire,135,1670,37.5,2018
Cote d'Ivoire,145,1730,36.5,2019
Cyprus,0.545,204000,0,1990
Cyprus,0.863,201000,0,1991
Cyprus,1.59,214000,0.0501,1992
Cyprus,2.44,21000,0.0564,1993
Cyprus,3.59,218000,0.111,1994
Cyprus,6.77,232000,0.41,1995
Cyprus,10.6,231000,0.673,1996
Cyprus,13.6,234000,4.38,1997
Cyprus,17,245000,8.89,1998
Cyprus,22,255000,11.3,1999
Cyprus,31.3,267000,15.3,2000
Cyprus,44.6,274000,18.8,2001
Cyprus,58.6,281000,28.3,2002
Cyprus,76.3,285000,30.1,2003
Cyprus,89.8,296000,33.8,2004
Cyprus,105,306000,32.8,2005
Cyprus,114,315000,35.8,2006
Cyprus,127,324000,40.8,2007
Cyprus,128,327000,42.3,2008
Cyprus,119,312000,49.8,2009
Cyprus,123,31000,53,2010
Cyprus,127,304000,56.9,2011
Cyprus,128,289000,60.7,2012
Cyprus,128,27000,65.5,2013
Cyprus,131,268000,69.3,2014
Cyprus,131,279000,71.7,2015
