Country Name,Africa Eastern and Southern,Africa Western and Central,East Asia & Pacific,Central Europe and the Baltics,Europe & Central Asia,Latin America & Caribbean,North America,Middle East & North Africa,South Asia,World,India
2001,23.10317848,35.6643106,93.82014512,100,99.94953318,92.35087019,100,91.34997609,54.96203656,78.22165842,55.8
2002,24.22343015,36.40355023,93.11681081,100,99.95858746,92.645728,100,91.38023465,60.67271573,79.39760703,62.3
2003,25.02318413,40.6739752,93.32693867,100,99.9711125,92.76547971,100,92.39837783,62.30056331,80.00876536,64.02313232
2004,26.17633577,37.7579127,94.17039329,100,99.95789257,93.24900691,100,92.41298773,62.53268458,80.16051425,64.4
2005,23.62149844,38.00790869,93.84338495,100,99.94727019,93.57878098,100,93.19349356,64.41758755,80.16144761,67.09343719
2006,27.29943305,39.86070626,94.80459658,100,99.94572046,94.2890728,100,95.64552167,65.82615243,81.25109416,67.9
2007,28.73795234,40.74423219,94.87062837,100,99.95410074,94.56138257,100,93.79731093,67.26986379,82.20470557,70.13076019
2008,28.8137354,41.68669872,95.29854404,100,99.96568909,95.25249603,100,94.80680039,69.37509629,82.28431997,71.6510849
2009,27.48306125,41.86571258,95.1435447,100,99.9704031,95.43630872,100,94.89100272,72.32064479,82.76505535,75
2010,28.23337289,41.73088116,95.54155542,100,99.96992514,96.11715379,100,95.7794586,73.19362596,83.29997202,76.3
2011,28.38183599,45.90129863,96.12813726,100,99.96340033,96.18682893,100,95.82597428,67.05647917,82.11274711,67.6
2012,32.22402744,44.13035389,96.37029485,100,99.97834475,96.55893103,100,95.40188482,77.42161943,84.73835469,79.9
2013,32.0464781,47.01816265,96.57167755,100,99.97571592,96.85531932,100,97.07460883,77.78491954,85.01886552,80.73804474
2014,31.3235788,47.74549899,96.72053972,100,99.98242048,97.02997334,100,96.08407959,80.54705924,85.53775446,83.58521271
2015,33.31216313,46.75227908,97.11917477,100,99.25533442,97.29341228,100,96.53771925,84.58633686,86.56355216,88
2016,38.38043319,50.94893858,97.23440435,99.8278347,99.96956893,97.49233324,100,96.84848185,86.54024658,87.71445552,89.53488159
2017,39.75420135,48.84820476,97.84539826,100,99.99144048,97.72943842,100,97.68722299,89.67897858,88.60203383,92.45683289
2018,42.16824107,51.25325261,97.94780493,100,99.9918503,97.79457458,100,96.28229095,92.36122729,89.41901425,95.19329834
2019,43.64066111,51.34142147,98.12820952,100,99.99332629,98.4242947,100,97.2325398,94.39872919,90.08403052,97.81528473
